,time,product url,product name,model no,selling price,discount%,seller,seller raitng,product rating,currency,position,brand,market,,most expensive:,most expensive item:
0,19:18.5,https://www.noon.com/egypt-en/yoga-mat-6-5-mm/N52252467A/p/?o=cc1f3bc4a124b6ac,Yoga Mat 6.5 Mm,Model Number : BB-8311,255,8,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",BODY SCULPTURE,noon-express,,2249,Exercise Mat 5Mm Eva
1,19:19.4,https://www.noon.com/egypt-en/18d-141-yoga-roller-blue-30cm/N46040261A/p/?o=c65abb8dd159c71b,18D-141 Yoga Roller Blue 30cm,Model Number : 2025518276,189,29,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaRollers",Spurt,noon-express,,,
2,19:22.6,https://www.noon.com/egypt-en/power-pull-high-end-mat/Z5E8B1D3A8CD1EDC0EF3FZ/p/?o=z5e8b1d3a8cd1edc0ef3fz-1,Power Pull High End Mat,Model Number : 6849,375,25,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,LEAST EXPENSIVE:,LEAST EXPENSIVE ITEM:
3,19:23.1,https://www.noon.com/egypt-en/athlete-home-yoga-foam-roller-45cm/ZB12BDB8FACF6B17C4801Z/p/?o=zb12bdb8facf6b17c4801z-1,Athlete Home Yoga Foam Roller 45cm,Model Number : 5410,225,25,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",Athlete Home,noon-express,,166,#N/A
4,19:24.1,https://www.noon.com/egypt-en/swiss-ball-76cm/N52252584A/p/?o=d3765f41c82ec5ed,Swiss Ball 76cm,Model Number : BB-001TABL-30,509,37,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaSwiss Balls",BODY SCULPTURE,noon-express,,,
5,19:25.2,https://www.noon.com/egypt-en/cork-yoga-mat/N52252533A/p/?o=f3d9eb65227cdcaf,Cork Yoga Mat,Model Number : QB-8380,792.05,24,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",BODY SCULPTURE,noon-express,,,
6,19:30.9,https://www.noon.com/egypt-en/travel-size-foam-roller-30x10cm/N52252209A/p/?o=d41bc412e8b599ee,Travel Size Foam Roller 30x10cm,Model Number : QB-018-30,309.6,15,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",BODY SCULPTURE,noon-express,,seller:,quantity
7,19:32.8,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/ZC67D1F852D66632BD795Z/p/?o=zc67d1f852d66632bd795z-1,Exercise Mat 5Mm Eva,Model Number : 31509,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,noon,519
8,19:34.3,https://www.noon.com/egypt-en/yoga-mat-17mm/N52252468A/p/?o=ebfef767165326ee,Yoga Mat 17mm,Model Number : BB-8330,759,17,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",BODY SCULPTURE,noon-express,,athlete home,780
9,19:38.5,https://www.noon.com/egypt-en/18d-141-yoga-roller-multi-color-30cm/N46040265A/p/?o=a24c899da00f436f,18D-141 Yoga Roller Multi Color 30cm,Model Number : 2025518283,215,13,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaRollers",Spurt,noon-express,,bekstore,65
10,19:48.7,https://www.noon.com/egypt-en/full-round-foam-roller-15x45centimeter/N35279634A/p/?o=cc049fe0ee46968f,Full Round Foam Roller 15x45centimeter,Model Number : BB-021-45cm,519.85,22,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",BODY SCULPTURE,noon-express,,vision technology,65
11,19:49.7,https://www.noon.com/egypt-en/red-floor-sand-bag-180cm/N52997096A/p/?o=a49569a510c8250e,Red Floor Sand Bag 180cm,Model Number : 25045,2249,25,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaBlocks, Bolsters, and CushionsSandbags",Athlete Home,noon-express,,,
12,19:50.5,https://www.noon.com/egypt-en/athlete-home-5mm-mat-with-bag/Z0C624E65219011A8526EZ/p/?o=z0c624e65219011a8526ez-1,Athlete Home 5mm Mat With Bag,Model Number : 6555,199,20,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
13,19:51.7,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/Z259A4C993D699276358CZ/p/?o=z259a4c993d699276358cz-1,Exercise Mat 5Mm Eva,Model Number : 31512,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,brand:,quantity:
14,20:02.7,https://www.noon.com/egypt-en/athlete-home-foam-roller-multi-color/Z33836E9B35BF66098518Z/p/?o=z33836e9b35bf66098518z-1,Athlete Home Foam Roller multi Color,Model Number : 6034,199,20,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",Athlete Home,noon-express,,BODY SCULPTURE,389
15,20:07.3,https://www.noon.com/egypt-en/non-slip-yoga-mat-with-carrying-bag/N39552148A/p/?o=fb086e376afc5e3c,Non Slip Yoga Mat With Carrying Bag,Model Number : 1004591,166,19,Bekstore,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Generic,noon-marketplace,,Spurt,130
16,20:22.1,https://www.noon.com/egypt-en/leather-gym-sand-bag-120cm/N52997041A/p/?o=a5bbac76bcbe721f,Leather Gym Sand Bag 120cm,Model Number : 22797,599,20,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaBlocks, Bolsters, and CushionsSandbags",Athlete Home,noon-express,,Athlete Home,780
17,20:25.9,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/Z1A602F6AF04BED4E260FZ/p/?o=z1a602f6af04bed4e260fz-1,Exercise Mat 5Mm Eva,Model Number : 31506,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,Generic,65
18,20:35.6,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/ZFEE22B4CAE429FFBB22DZ/p/?o=zfee22b4cae429ffbb22dz-1,Exercise Mat 5Mm Eva,Model Number : 31505,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,LIXADA,65
19,20:41.8,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/ZDED9F1F3D74EBD31CD90Z/p/?o=zded9f1f3d74ebd31cd90z-1,Exercise Mat 5Mm Eva,Model Number : 31516,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
